exporter,importer,baseline modeled trade,experiment trade,trade change (percent),baseline observed trade,experiment observed trade,trade change (observed level)
ARE,ARE,63703228377.0394,138448899511.97308,117.33419645945969,262000000000.0,569415594723.7844,307415594723.7844
ARE,AUS,344720228.18081,112569605.55837107,-67.34464752694265,958000000.0,312838276.69188946,-645161723.3081105
ARE,BGD,105036246.87788637,583282292.6213921,455.31524588793405,984000000.0,5464302019.5372715,4480302019.5372715
ARE,CAN,535632641.4890555,570699491.5815959,6.546809767801819,431000000.0,459216750.0992258,28216750.09922582
ARE,CHL,19846082.114158146,58655919.51036661,195.55415105594884,43579611.0,128801349.3245349,85221738.3245349
ARE,CHN,21231111192.532192,988553550.4928974,-95.3438445047539,28200000000.0,1313035849.6593988,-26886964150.340603
ARE,COL,107151178.73928101,488367806.9727363,355.7745539701687,53851341.0,245440709.24970457,191589368.24970457
ARE,DEU,15566947492.426088,7993395850.613495,-48.651488324846056,907000000.0,465731000.89364636,-441268999.10635364
ARE,ECU,13007173.143643733,158351943.47805983,1117.4201244906337,43680679.0,531777376.6601541,488096697.6601541
ARE,IDN,286251005.62561834,126749639.87824562,-55.72080538154727,2130000000.0,943146845.3730432,-1186853154.626957
ARE,IND,7906850594.547275,7169532804.769919,-9.325050232842703,42900000000.0,38899553450.11048,-4000446549.8895187
ARE,JPN,16154307783.184387,3358972883.426616,-79.20695254473797,27100000000.0,5634915860.376009,-21465084139.623993
ARE,KEN,12952283.609646605,138145180.64589095,966.5700721917729,1620000000.0,17278435169.50672,15658435169.506721
ARE,KHM,2918769.7953571235,51154696.97670502,1652.6115645734244,53330241.0,934671971.1808778,881341730.1808778
ARE,KOR,3557484597.9992814,3024205924.059128,-14.990329803256714,5690000000.0,4837050234.194693,-852949765.8053074
ARE,LAO,1754249.3571489581,74084229.94720331,4123.12994702227,54791935.0,2313934615.5379767,2259142680.5379767
ARE,LKA,15165738.186112897,241905151.33978918,1495.0766680206777,1360000000.0,21693042685.08122,20333042685.08122
ARE,MDG,835249.3859950639,44492990.62829831,5226.910905213315,212000000.0,11293051119.052229,11081051119.052229
ARE,MYS,95126307.40735202,185852693.57165024,95.37465359165857,2780000000.0,5431415369.848108,2651415369.8481083
ARE,NZL,7447950.033831084,15461564.182532217,107.59489674743539,1810000000.0,3757467631.1285806,1947467631.1285806
ARE,PAK,199587064.17541853,392424260.802471,96.61808365374142,7320000000.0,14392443723.453873,7072443723.453873
ARE,PHL,219982183.37857318,348726991.99596936,58.52510718826525,948000000.0,1502818016.1447546,554818016.1447546
ARE,RUS,4261436950.9473357,3525064102.6994753,-17.2799188800426,191000000.0,157995354.93911862,-33004645.060881376
ARE,SGP,101390850.65459307,123971599.17653286,22.270992280028647,6200000000.0,7580801521.361776,1380801521.3617764
ARE,THA,457612186.80947775,758760448.8423368,65.80861933168731,5530000000.0,9169216649.042309,3639216649.042309
ARE,USA,182581983562.82523,34511602230.4908,-81.09802426447207,4810000000.0,909185032.8788935,-3900814967.1211066
ARE,ZAF,225793105.23958465,1011006677.1326965,347.75799334525163,1200000000.0,5373095920.143019,4173095920.1430187
AUS,ARE,1455971147.6802068,5608419676.858689,285.2012923329259,2470000000.0,9514471920.62327,7044471920.62327
AUS,AUS,196297601883.01566,113613264673.8129,-42.12192936441415,599000000.0,346689643.10715926,-252310356.89284074
AUS,BGD,975313778.1330577,9599389774.263533,884.2360468482923,555000000.0,5462510060.008022,4907510060.008022
AUS,CAN,2788381717.694308,5265654341.123304,88.84266482271427,1750000000.0,3304746634.3974996,1554746634.3974996
AUS,CHL,204393224.96256092,1070688724.7409879,423.8376785419908,424000000.0,2221071757.0180407,1797071757.0180407
AUS,CHN,132510144173.66238,10935440240.93289,-91.74746936611785,163000000000.0,13451624933.227903,-149548375066.7721
AUS,COL,881464477.3743492,7120566710.233845,707.8109660691193,37642417.0,304079572.41946644,266437155.41946644
AUS,DEU,53394834880.80136,48594461934.06743,-8.990332037640506,2920000000.0,2657482304.5008974,-262517695.4991026
AUS,ECU,114547593.57575011,2471645128.6226,2057.74513585753,26159061.0,564445866.3135041,538286805.3135041
AUS,IDN,2789422468.585917,2189140710.941974,-21.519929820750765,9380000000.0,7361430582.813579,-2018569417.1864214
AUS,IND,37120148874.79384,59656353384.78795,60.71151434766242,15000000000.0,24106727152.149364,9106727152.149364
AUS,JPN,140193645103.25443,51666154964.32338,-63.14657848701303,52200000000.0,19237486029.7792,-32962513970.2208
AUS,KEN,73117557.23884419,1382199516.6044796,1790.3797785385764,236000000.0,4461296277.35104,4225296277.35104
AUS,KHM,20564913.487804983,638810770.1915218,3006.3139194353394,79669015.0,2474769702.4220285,2395100687.4220285
AUS,KOR,26213384520.576614,39495816745.9534,50.67042073468433,18700000000.0,28175368677.38597,9475368677.385971
AUS,LAO,10754208.216128817,804956766.5785817,7385.039813264293,82368758.0,6165334329.991318,6082965571.991318
AUS,LKA,135612542.2304005,3833902724.765855,2727.100400678428,320000000.0,9046721282.170969,8726721282.170969
AUS,MDG,4103389.24688834,387416237.315046,9341.371851545144,9920085.0,936592112.839352,926672027.839352
AUS,MYS,1552816104.3123455,5377097572.134079,246.28038421299678,5370000000.0,18595256632.237926,13225256632.237926
AUS,NZL,197451405.25630507,726501594.5058832,267.93943986513324,5390000000.0,19831935808.730682,14441935808.730682
AUS,PAK,827514084.9110327,2883756079.8464966,248.48422914233944,669000000.0,2331359492.9622507,1662359492.9622507
AUS,PHL,1608655779.0920544,4519816973.294765,180.9685597154792,1730000000.0,4860756083.07779,3130756083.0777903
AUS,RUS,12961894211.637577,19003740613.284122,46.612372412528984,734000000.0,1076134813.5079627,342134813.5079627
AUS,SGP,1418018520.9898298,3073017331.87671,116.7120729658474,4670000000.0,10120453807.505074,5450453807.505074
AUS,THA,2832503589.7296066,8324099094.474631,193.8777950593615,3380000000.0,9933069473.006418,6553069473.006418
AUS,USA,926582846357.2041,310421023832.28577,-66.49829801483112,10400000000.0,3484177006.457563,-6915822993.542437
AUS,ZAF,1139144640.3664343,9040280137.174328,693.6024817942607,756000000.0,5999634762.364611,5243634762.364611
BGD,ARE,217880092.40269792,668745912.6137855,206.93300394685562,607000000.0,1863083333.9574137,1256083333.9574137
BGD,AUS,479001324.933756,220905543.57117698,-53.88206001273016,934000000.0,430741559.4811003,-503258440.5188997
BGD,BGD,6891673397.006587,54048022495.48614,684.2510720104933,252000000000.0,1976312701466.443,1724312701466.443
BGD,CAN,548881792.1297188,825913944.9902449,50.47209742294645,1500000000.0,2257081461.344197,757081461.3441968
BGD,CHL,19084310.622570634,79657938.7153776,317.4001371638111,138000000.0,576012189.2860594,438012189.2860594
BGD,CHN,8727307584.096874,573882896.924373,-93.42428473622131,1010000000.0,66414724.16416479,-943585275.8358352
BGD,COL,103949441.27964056,669094959.4103415,543.673454300124,87531475.0,563416868.7323495,475885393.7323495
