,factory gate price change (percent),baseline imr,experiment imr,imr change (percent),baseline omr,experiment omr,omr change (percent),terms of trade change (percent),GDP change (percent),welfare statistic,baseline output,experiment output,output change (percent),baseline expenditure,experiment expenditure,expenditure change (percent),baseline modeled foreign exports,experiment foreign exports,foreign exports change (percent),baseline modeled foreign imports,experiment foreign imports,foreign imports change (percent),baseline modeled intranational trade,experiment modeled intranational trade,intranational trade change (percent),baseline observed foreign exports,experiment observed foreign exports,baseline observed foreign imports,experiment observed foreign imports,baseline observed intranational trade,experiment observed intranational trade
ARE,-6.82436257925958,0.9999928296696632,1.2507243106204669,25.0733278791239,0.002252637504434973,0.002417625000259507,7.324191997145922,-25.50319160709527,-25.503191607095278,1.342339385502108,400000000000.0,372702549682.9617,-6.824362579259582,406000000000.0,378293087928.20605,-6.824362579259592,254012332668.66534,66055990531.39518,-73.9949671587171,85070810943.4689,133848912493.74683,57.338235064776626,63703228377.0394,138448899511.97308,117.33419645945969,143530233807.0,37325084438.68047,138393539910.0,217745953138.06125,262000000000.0,569415594723.7844
AUS,-23.00737102117244,0.9999928464523019,0.8167355923099299,-18.325856509125853,0.002413837203057092,0.0031351536310325087,29.88256320939455,-5.731941973250906,-5.731941973250918,1.0608047104526588,1500000000000.0,1154889434682.4133,-23.007371021172446,301000000000.0,231747813226.27094,-23.007371021172446,1348006649265.0142,614090351581.1823,-54.44456064693684,116106875046.20052,28917013245.45694,-75.09448666674521,196297601883.01566,113613264673.8129,-42.12192936441415,300289759336.0,136798319197.77078,182017536707.0,45332401873.42382,599000000.0,346689643.10715926
BGD,-16.95174125532619,0.9999927870852235,1.6274491058651783,62.746084460155245,0.002594358493549739,0.00312391678376535,20.411916530897056,-48.97065633243771,-48.97065633243771,1.959656793774653,290000000000.0,240839950359.55405,-16.95174125532619,279000000000.0,231704641897.63992,-16.951741255326194,244487582275.711,87267942931.62103,-64.3057769563085,31441018913.96045,107194463328.16476,240.93826164319455,6891673397.006587,54048022495.48614,684.2510720104933,27315424157.0,9750028423.929968,38431394877.0,131027329618.87552,252000000000.0,1976312701466.443
CAN,0.8034720069897805,0.9999926476069294,1.0261747611138654,2.618230600954128,0.002006710588737874,0.00199071574498821,-0.7970677904143598,-1.7684563291890147,-1.768456329189009,1.0180029373773802,1700000000000.0,1713659024118.8262,0.8034720069897748,399000000000.0,402205853307.8892,0.8034720069897797,8991128950045.021,1391908449369.21,-84.51909146112024,906083137851.5491,224550058304.7478,-75.21749948496033,147628269144.95395,124219742081.6164,-15.856398777088605,394840280816.0,61124862747.78095,342855780635.0,84968235601.71217,3610000000.0,3037584004.1471014
CHL,-25.969212259657926,0.9999927460441717,1.4305772191677006,43.05875965869348,0.0025627423015269035,0.0034617250197519797,35.07893547039258,-48.25148217630075,-48.25148217630075,1.9324224964411063,270000000000.0,199883126898.9236,-25.969212259657922,73100000000.0,54116505838.190056,-25.969212259657926,252654797681.26385,116435081611.58743,-53.915349053266006,8280357880.455558,12890780794.858374,55.67902958983176,3565720769.2899013,21011371408.734295,489.26014593449565,73134267654.0,33703671970.796085,56660637804.0,88208731092.67656,29115735.0,171567422.55090103
CHN,-9.349288102158383,0.9999927611239542,0.48180267001716354,-51.81938422477824,0.002058688294936889,0.0022710117238317023,10.313529708066962,88.14768229770384,88.14768229770382,0.5314973789672901,16000000000000.0,14504113903654.658,-9.349288102158386,1820000000000.0,1649842956540.7175,-9.349288102158377,31986219032854.008,8976393923912.176,-71.93668337388594,3900481906395.6772,81845616516.10037,-97.90165373201971,21341953702836.89,1079083642280.8617,-94.94383851963175,1658344000000.0,465386327470.16486,1401790000000.0,29414408149.92089,156000000000.0,7887611909.374468
COL,-13.315613760145395,0.9999926862636696,1.532524424724772,53.25356332863109,0.0023072359333954403,0.0026616511155900064,15.361029059260165,-43.43727848339036,-43.43727848339035,1.767948877258938,330000000000.0,286058474591.5202,-13.315613760145393,322000000000.0,279123723692.33185,-13.31561376014539,363971648026.5501,98764018600.11201,-72.86491430428461,62806125250.90663,126014138547.0399,100.6398867047141,13633362889.160568,77168054497.68506,466.02362252851646,28848747069.0,7828132239.313332,37243270399.0,74724855533.68393,293000000000.0,1658449214008.553
DEU,36.14310268939194,0.9999927791148638,0.793118719151207,-20.687555378826822,0.0019150680938311078,0.0014066581824546394,-26.54787644440312,71.65415003870314,71.65415003870312,0.5825667481820442,3600000000000.0,4901151696818.109,36.143102689391924,3600000000000.0,4901151696818.109,36.143102689391924,3938400677212.5005,297152293297.5422,-92.45500095973327,4235951547600.1553,1325157112673.4155,-68.71642421348817,19756387278776.188,3252037738756.6943,-83.53930962747283,374720904617.0,28272688657.031464,375724000000.0,117539902288.11371,3220000000000.0,530034229995.3747
ECU,-20.155648572152163,0.9999927203920483,1.9998811658602318,99.9895724317049,0.002565436455094821,0.003213046895888585,25.243674989791447,-60.07574272147907,-60.075742721479074,2.504742901098364,98000000000.0,78247464399.29088,-20.155648572152163,101000000000.0,80642794942.12631,-20.155648572152163,91919696329.35167,33311169857.069508,-63.76057451526564,7423160194.070766,42040953377.56571,466.3484591258833,809435110.3888366,15660190476.124378,1834.7061024572474,21028880910.0,7620745627.65298,17697727097.0,100230804714.16342,80300000000.0,1553569000273.1697
IDN,-19.726143382608473,0.9999929179789561,0.8721910033077084,-12.78028197735068,0.0023622686558770704,0.0029427621337994587,24.573558832022897,-7.963636621083873,-7.963636621083888,1.0865270674406962,1100000000000.0,883012422791.3068,-19.726143382608477,200000000000.0,160547713234.78305,-19.726143382608473,1059133409902.2236,471291893411.42896,-55.50212192296556,89118729611.2018,32088666800.599583,-63.99335253027868,103124328478.36786,71407787778.16792,-30.75563367848067,199663010088.0,88845802793.89523,152464346912.0,54897299909.61678,49275617.0,34120588.74266886
IND,-4.869352625516976,1.0,1.0,0.0,0.002092974129795946,0.002200105000396903,5.118595068893731,-4.869352625516976,-4.869352625516968,1.0511859506889372,2800000000000.0,2663658126485.525,-4.869352625516968,2690000000000.0,2559014414373.5938,-4.869352625516961,2177330181125.0044,517216992058.4844,-76.24535789095415,1523983120912.9636,878327968890.5757,-42.36629285208875,1163156951462.0933,990994867182.6753,-14.801277167540416,207777355573.0,49356767200.00577,314198721627.0,181084371084.98608,2490000000000.0,2121448198528.2437
JPN,27.634558446224755,0.9999929354219675,0.642972916952061,-35.70225406835045,0.0019486444962173455,0.0015267373663836875,-21.651313549118495,98.50549439463111,98.50549439463114,0.5037643935497266,4500000000000.0,5743555130080.114,27.63455844622476,4530000000000.0,5781845497613.981,27.634558446224755,4574610480364.902,465285488861.39545,-89.82895940848977,8981280355610.242,1630553476788.3528,-81.84497741716957,42286589347273.586,3420763736634.5034,-91.9105234320463,549639139938.0,55904020029.921745,523451060511.0,95032658245.83742,3980000000000.0,321961167404.5569
KEN,-21.119033772797923,0.999992755216862,1.9407045704207657,94.07186305063756,0.0029727058942309475,0.003768597212245876,26.773294982174118,-59.354764267594874,-59.354764267594874,2.4603129542258566,90000000000.0,70992869604.48187,-21.11903377279792,79600000000.0,62789249116.85286,-21.119033772797916,69983838702.75851,29574415269.001316,-57.74107877304022,3964607420.550661,30247727975.256054,662.9438369727618,720607115.8163999,12667134790.99439,1657.8420352737385,2609723452.0,1102840977.8221755,12957967394.0,98862013629.46298,77000000000.0,1353538367160.7786
KHM,-23.6820136106627,0.9999928635264016,2.215490413919954,121.55062248216342,0.0031677182993439185,0.004150683802352649,31.03071075519302,-65.55279983675896,-65.55279983675898,2.902993553209328,24000000000.0,18316316733.440952,-23.6820136106627,31800000000.0,24269119671.80926,-23.6820136106627,18413232455.556164,9993658994.625532,-45.72566756680486,1047551096.9512917,15852378802.376778,1413.2797673079874,33101920.10081346,1055760153.6855159,3089.4226995598697,21392288092.0,11610521554.1189,13557305502.0,205159961153.8986,10400000000.0,331699960754.22644
KOR,-1.4305325623878096,0.9999927781529027,0.975296410891952,-2.469654561562697,0.0020473887881518106,0.0020771024145460346,1.4512937926678156,1.0654345521935946,1.0654345521936022,0.9894579728775286,1700000000000.0,1675680946439.4072,-1.4305325623878102,1850000000000.0,1823535147595.8254,-1.430532562387814,1521192145711.474,291539265884.4757,-80.8348165150353,1219488134165.3137,689515406043.3837,-43.45862114391734,935568526415.7548,671774975278.2836,-28.196069415469484,454892029541.0,87180892120.01247,308944859571.0,174681683506.43164,1390000000000.0,998074635124.9742
LAO,-28.75813473252483,0.9999928263202958,2.8082124307544456,180.82325761154812,0.003339082110380455,0.0046869661509338755,40.36690311876885,-74.63106657425746,-74.63106657425743,3.9418290994656964,19000000000.0,13535954400.820282,-28.75813473252483,21300000000.0,15174517301.97221,-28.758134732524837,14455059954.809193,8826920152.325434,-38.93543036195626,353341598.9063918,10444839121.571306,2856.0173933379356,3287427.097515477,310593131.8218413,9347.909340912132,6448377407.0,3937673912.2213945,4177435994.0,123485734578.19948,14800000000.0,1398290582454.9956
LKA,-22.567088235505672,0.9999927558319687,2.1561011388132862,115.61167580853768,0.002948919944543373,0.00380835471293173,29.144052214053456,-64.0868652061058,-64.0868652061058,2.7844965518577225,96000000000.0,74335595293.91455,-22.567088235505675,86900000000.0,67289200323.345566,-22.56708823550568,76571314821.91428,33415182309.479263,-56.36070454426097,3595791418.7791104,33882542163.59113,842.283303381801,441320646.4732708,12264960491.93131,2679.1494891400134,7791326217.0,3400079867.7570853,16936364339.0,159588533366.30652,79100000000.0,2198307245909.7507
MDG,-28.077608796867114,0.9999928448761568,2.968985000191013,196.90062437983786,0.003507792333093751,0.004877190919843864,39.03875876090849,-75.77560122907674,-75.77560122907674,4.128069428911106,13000000000.0,9349910856.407274,-28.07760879686712,13200000000.0,9493755638.81354,-28.077608796867125,9698555794.344006,5772002375.079401,-40.48595999782244,163327755.46698275,6276329638.976277,3742.7820311563996,3512710.9921556395,406848403.7486468,11482.176975481174,2117203315.0,1260033227.8165293,1939506476.0,74531006352.84271,11100000000.0,1285621644278.4104
MYS,-14.431519224999711,0.9999928193924527,1.2440669809311773,24.407591415207595,0.002457406960012321,0.002871859986008163,16.865461551136985,-31.21924490168983,-31.219244901689827,1.45389505912035,360000000000.0,308046530790.00104,-14.431519224999713,297000000000.0,254138387901.75085,-14.431519224999713,262707757874.02222,91334272907.9606,-65.23350751150689,57954316446.10069,94247794679.75047,62.62428833476768,31261392439.40548,78857352568.33861,152.25156787622058,296391547785.0,103044945197.20052,174440118033.0,283682000521.495,77433067.0,195326125.56214437
